name,geoDumpCat19_z_pos,geoDumpCat19_rel_z_pos,geoDumpCat21_z_pos,geoDumpCat21_rel_z_pos,detOGP_z_pos,detOGP_rel_z_pos,HPS-PhysicsRun2016-Pass2_z_pos,HPS-PhysicsRun2016-Pass2_rel_z_pos,HPS-PhysicsRun2016-Pass2_db_z_pos,HPS-PhysicsRun2016-Pass2_db_rel_z_pos,HPS_PhysicsRun2019_Pass2_z_pos,HPS_PhysicsRun2019_Pass2_rel_z_pos,HPS_TimDesign_iter0_z_pos,HPS_TimDesign_iter0_rel_z_pos,HPS_Run2021Pass1_v3_z_pos,HPS_Run2021Pass1_v3_rel_z_pos
L1tA,37.451,-149.929,38.381,-149.929,0.0,-150.09256,87.92,-100.07000000000001,87.909,-100.07099999999998,37.452,-149.928,38.151,-149.959,38.381,-149.929
L1tS,45.018,-142.362,45.948,-142.362,7.9311,-142.16146,96.105,-91.885,96.093,-91.88699999999999,45.018,-142.362,45.928,-142.18200000000002,45.948,-142.362
L2tA,87.435,-99.945,88.365,-99.94500000000001,49.971,-100.12155999999999,187.99,0.0,187.98,0.0,87.435,-99.945,88.134,-99.97600000000001,88.365,-99.94500000000001
L2tS,95.002,-92.378,95.932,-92.378,57.852,-92.24055999999999,195.99,8.0,195.97,7.990000000000009,95.002,-92.378,95.952,-92.15800000000002,95.932,-92.378
L3tA,187.38,0.0,188.31,0.0,150.09256,0.0,287.98,99.99000000000001,287.71,99.72999999999999,187.38,0.0,188.11,0.0,188.31,0.0
L3tS,194.74,7.360000000000014,195.67,7.359999999999985,158.49406,8.401499999999999,295.97,107.98000000000002,295.79,107.81000000000003,194.74,7.360000000000014,195.86,7.75,195.67,7.359999999999985
L4tA,287.33,99.94999999999999,288.26,99.94999999999999,250.16734,100.07478,0.0,0.0,0.0,0.0,287.33,99.94999999999999,288.06,99.94999999999999,288.26,99.94999999999999
L4tS,294.69,107.31,295.62,107.31,258.31051,108.21795000000003,0.0,0.0,0.0,0.0,294.69,107.31,295.82,107.70999999999998,295.62,107.31
L5tAs,486.45,299.07,486.62,298.31,0.0,-150.09256,686.37,498.38,685.76,497.78,486.45,299.07,486.59,298.47999999999996,486.62,298.31
L5tAh,489.62,302.24,489.7,301.39,0.0,-150.09256,689.48,501.49,689.79,501.80999999999995,489.62,302.24,489.67,301.56,489.7,301.39
L5tSs,493.93,306.55,493.99,305.68,0.0,-150.09256,693.94,505.95000000000005,693.1,505.12,493.93,306.55,494.01,305.9,493.99,305.68
L5tSh,497.08,309.7,497.06,308.75,0.0,-150.09256,697.09,509.1,697.1,509.12,497.08,309.7,497.09,308.97999999999996,497.06,308.75
L6tAs,686.31,498.92999999999995,686.53,498.21999999999997,0.0,-150.09256,886.45,698.46,886.45,698.47,686.31,498.92999999999995,686.49,498.38,686.53,498.21999999999997
L6tAh,689.45,502.07000000000005,689.61,501.3,0.0,-150.09256,889.46,701.47,889.46,701.48,689.45,502.07000000000005,689.57,501.46000000000004,689.61,501.3
L6tSs,693.88,506.5,693.9,505.59,0.0,-150.09256,893.88,705.89,893.88,705.9,693.88,506.5,693.92,505.80999999999995,693.9,505.59
