detector names,position,L1bS,L1bA,L2bS,L2bA,L3bS,L3bA,L4bS,L4bA,L5bSs,L5bSh,L5bAs,L5bAh,L6bSs,L6bSh,L6bAs,L6bAh,L7bSs,L7bSh,L7bAs,L7bAh
geoDumpCat19,z_pos,53.649,61.263,103.63,111.25,203.82,211.19,303.78,311.14,502.57,505.62,510.07,513.12,702.47,705.51,710.07,713.11,902.41,905.45,909.77,912.81
geoDumpCat19,rel_z_pos,-150.171,-142.557,-100.19,-92.57,0.0,7.3700000000000045,99.95999999999998,107.32,298.75,301.8,306.25,309.3,498.65000000000003,501.69,506.25000000000006,509.29,698.5899999999999,701.6300000000001,705.95,708.99
geoDumpCat21,z_pos,53.891,61.505,103.88,111.49,204.09,211.45,304.05,311.41,502.49,505.57,509.85,512.93,702.4,705.47,709.76,712.84,902.31,905.38,909.67,912.75
geoDumpCat21,rel_z_pos,-150.199,-142.585,-100.21000000000001,-92.60000000000001,0.0,7.359999999999985,99.96000000000001,107.32000000000002,298.4,301.48,305.76,308.8399999999999,498.30999999999995,501.38,505.66999999999996,508.75,698.2199999999999,701.29,705.5799999999999,708.66
detOGP,z_pos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.843,50.147,57.967,149.72955,157.76554,249.72478,257.93589
detOGP,rel_z_pos,-149.72955,-149.72955,-149.72955,-149.72955,-149.72955,-149.72955,-149.72955,-149.72955,-149.72955,-149.72955,-149.72955,-149.72955,-149.72955,-141.88655,-99.58255,-91.76254999999999,0.0,8.035989999999998,99.99523000000002,108.20633999999998
HPS-PhysicsRun2016-Pass2,z_pos,103.65,111.71,203.77,211.83,303.72,311.59,502.52,505.57,510.03,513.08,702.43,705.47,710.03,713.07,902.35,905.35,909.99,912.89,0.0,0.0
HPS-PhysicsRun2016-Pass2,rel_z_pos,-100.12,-92.06000000000002,0.0,8.060000000000002,99.95000000000002,107.81999999999996,298.75,301.79999999999995,306.26,309.31000000000006,498.65999999999997,501.70000000000005,506.26,509.30000000000007,698.58,701.58,706.22,709.12,0.0,0.0
HPS-PhysicsRun2016-Pass2_db,z_pos,103.66,111.72,203.78,211.84,303.6,311.88,502.58,505.58,509.3,512.27,702.63,705.49,709.84,712.65,902.35,905.35,909.99,912.89,0.0,0.0
HPS-PhysicsRun2016-Pass2_db,rel_z_pos,-100.12,-92.06,0.0,8.060000000000002,99.82000000000002,108.1,298.79999999999995,301.79999999999995,305.52,308.49,498.85,501.71000000000004,506.06000000000006,508.87,698.57,701.57,706.21,709.11,0.0,0.0
HPS_PhysicsRun2019_Pass2,z_pos,53.649,61.263,103.63,111.25,203.82,211.19,303.78,311.14,502.57,505.62,510.07,513.12,702.47,705.51,710.07,713.11,902.41,905.45,909.77,912.81
HPS_PhysicsRun2019_Pass2,rel_z_pos,-150.171,-142.557,-100.19,-92.57,0.0,7.3700000000000045,99.95999999999998,107.32,298.75,301.8,306.25,309.3,498.65000000000003,501.69,506.25000000000006,509.29,698.5899999999999,701.6300000000001,705.95,708.99
HPS_TimDesign_iter0,z_pos,53.984,61.821,103.97,111.81,203.95,211.73,303.9,311.69,502.45,505.52,509.88,512.96,702.36,705.44,709.79,712.87,902.26,905.35,909.7,912.78
HPS_TimDesign_iter0,rel_z_pos,-149.96599999999998,-142.129,-99.97999999999999,-92.13999999999999,0.0,7.780000000000001,99.94999999999999,107.74000000000001,298.5,301.57,305.93,309.01000000000005,498.41,501.49000000000007,505.84,508.92,698.31,701.4000000000001,705.75,708.8299999999999
HPS_Run2021Pass1_v3,z_pos,53.891,61.505,103.88,111.49,204.09,211.45,304.05,311.41,502.49,505.57,509.85,512.93,702.4,705.47,709.76,712.84,902.31,905.38,909.67,912.75
HPS_Run2021Pass1_v3,rel_z_pos,-150.199,-142.585,-100.21000000000001,-92.60000000000001,0.0,7.359999999999985,99.96000000000001,107.32000000000002,298.4,301.48,305.76,308.8399999999999,498.30999999999995,501.38,505.66999999999996,508.75,698.2199999999999,701.29,705.5799999999999,708.66
